Time,Totalcalls,ActiveCalls,RingingCalls
Tue Jul 19 00:00:08 EST 2022,0,0,0
Tue Jul 19 00:00:18 EST 2022,0,0,0
Tue Jul 19 00:00:28 EST 2022,0,0,0
Tue Jul 19 00:00:38 EST 2022,0,0,0
Tue Jul 19 00:00:48 EST 2022,0,0,0
Tue Jul 19 00:00:58 EST 2022,0,0,0
Tue Jul 19 00:01:08 EST 2022,0,0,0
Tue Jul 19 00:01:18 EST 2022,0,0,0
Tue Jul 19 00:01:28 EST 2022,0,0,0
Tue Jul 19 00:01:38 EST 2022,0,0,0
Tue Jul 19 00:01:48 EST 2022,0,0,0
Tue Jul 19 00:01:58 EST 2022,0,0,0
Tue Jul 19 00:02:08 EST 2022,0,0,0
Tue Jul 19 00:02:18 EST 2022,0,0,0
Tue Jul 19 00:02:28 EST 2022,0,0,0
Tue Jul 19 00:02:38 EST 2022,0,0,0
Tue Jul 19 00:02:48 EST 2022,0,0,0
Tue Jul 19 00:02:58 EST 2022,0,0,0
Tue Jul 19 00:03:08 EST 2022,0,0,0
Tue Jul 19 00:03:18 EST 2022,0,0,0
Tue Jul 19 00:03:28 EST 2022,0,0,0
Tue Jul 19 00:03:38 EST 2022,0,0,0
Tue Jul 19 00:03:48 EST 2022,0,0,0
Tue Jul 19 00:03:58 EST 2022,0,0,0
Tue Jul 19 00:04:08 EST 2022,0,0,0
Tue Jul 19 00:04:18 EST 2022,0,0,0
Tue Jul 19 00:04:28 EST 2022,0,0,0
Tue Jul 19 00:04:38 EST 2022,0,0,0
Tue Jul 19 00:04:48 EST 2022,0,0,0
Tue Jul 19 00:04:58 EST 2022,0,0,0
Tue Jul 19 00:05:08 EST 2022,0,0,0
Tue Jul 19 00:05:18 EST 2022,0,0,0
Tue Jul 19 00:05:28 EST 2022,0,0,0
Tue Jul 19 00:05:38 EST 2022,0,0,0
Tue Jul 19 00:05:48 EST 2022,0,0,0
Tue Jul 19 00:05:58 EST 2022,0,0,0
Tue Jul 19 00:06:08 EST 2022,0,0,0
Tue Jul 19 00:06:18 EST 2022,0,0,0
Tue Jul 19 00:06:28 EST 2022,0,0,0
Tue Jul 19 00:06:38 EST 2022,0,0,0
Tue Jul 19 00:06:48 EST 2022,0,0,0
Tue Jul 19 00:06:58 EST 2022,0,0,0
Tue Jul 19 00:07:08 EST 2022,0,0,0
Tue Jul 19 00:07:18 EST 2022,0,0,0
Tue Jul 19 00:07:28 EST 2022,0,0,0
Tue Jul 19 00:07:38 EST 2022,0,0,0
Tue Jul 19 00:07:48 EST 2022,0,0,0
Tue Jul 19 00:07:58 EST 2022,0,0,0
Tue Jul 19 00:08:08 EST 2022,0,0,0
Tue Jul 19 00:08:18 EST 2022,0,0,0
Tue Jul 19 00:08:28 EST 2022,0,0,0
Tue Jul 19 00:08:38 EST 2022,0,0,0
Tue Jul 19 00:08:48 EST 2022,0,0,0
Tue Jul 19 00:08:58 EST 2022,0,0,0
Tue Jul 19 00:09:09 EST 2022,0,0,0
Tue Jul 19 00:09:19 EST 2022,0,0,0
Tue Jul 19 00:09:29 EST 2022,0,0,0
Tue Jul 19 00:09:39 EST 2022,0,0,0
Tue Jul 19 00:09:49 EST 2022,0,0,0
Tue Jul 19 00:09:59 EST 2022,0,0,0
Tue Jul 19 00:10:09 EST 2022,0,0,0
Tue Jul 19 00:10:19 EST 2022,0,0,0
Tue Jul 19 00:10:29 EST 2022,0,0,0
Tue Jul 19 00:10:39 EST 2022,0,0,0
Tue Jul 19 00:10:49 EST 2022,0,0,0
Tue Jul 19 00:10:59 EST 2022,0,0,0
Tue Jul 19 00:11:09 EST 2022,0,0,0
Tue Jul 19 00:11:19 EST 2022,0,0,0
Tue Jul 19 00:11:29 EST 2022,0,0,0
Tue Jul 19 00:11:39 EST 2022,0,0,0
Tue Jul 19 00:11:49 EST 2022,0,0,0
Tue Jul 19 00:11:59 EST 2022,0,0,0
Tue Jul 19 00:12:09 EST 2022,0,0,0
Tue Jul 19 00:12:19 EST 2022,0,0,0
Tue Jul 19 00:12:29 EST 2022,0,0,0
Tue Jul 19 00:12:39 EST 2022,0,0,0
Tue Jul 19 00:12:49 EST 2022,0,0,0
Tue Jul 19 00:12:59 EST 2022,0,0,0
Tue Jul 19 00:13:09 EST 2022,0,0,0
Tue Jul 19 00:13:19 EST 2022,0,0,0
Tue Jul 19 00:13:29 EST 2022,0,0,0
Tue Jul 19 00:13:39 EST 2022,0,0,0
Tue Jul 19 00:13:49 EST 2022,0,0,0
Tue Jul 19 00:13:59 EST 2022,0,0,0
Tue Jul 19 00:14:09 EST 2022,0,0,0
Tue Jul 19 00:14:19 EST 2022,0,0,0
Tue Jul 19 00:14:29 EST 2022,0,0,0
Tue Jul 19 00:14:39 EST 2022,0,0,0
